ID,Name,Latitude,Longitude,Address,Link,IMAX With Laser,Stadium Seating,Handicap Accessible,Assistive Listening Devices Available,Reserved Seating,Ticketing Kiosk,Cafe
2664,OMNIMAX Theatre at TELUS World of Science,49.273100000000,-123.102900000000,"Science World - 1455 Quebec Street, Vancouver, BC, Canada V6A 3Z7",https://imax.com/theatres/omnimax-theatre-telus-world-science,false,true,false,false,false,false,false
2665,SilverCity Riverport & IMAX,49.135050000000,-123.066000000000,"14211 Entertainment Way, Richmond, BC V6W 1K4",https://imax.com/theatres/silvercity-riverport-imax,false,true,true,true,true,false,false
2666,SilverCity Victoria Cinemas & IMAX,48.454950000000,-123.397700000000,"3130 Tillicum Road - corner of Burnside & Tillicum Road, Victoria, BC V9A 6T2",https://imax.com/theatres/silvercity-victoria-cinemas-imax,false,true,true,true,true,false,false
2668,"Cinema City IMAX, Mall of Sofia",42.697760000000,23.308730000000,"Mall Sofia - 101 Al. Stambolijski Boulevard, Sofia, SG, Bulgaria 1330",https://imax.com/theatres/cinema-city-imax-mall-sofia,false,true,false,false,false,false,false
2669,Cineart Boulevard & IMAX,-19.920210000000,-43.919800000000,"Av. dos Andradas, 3.000 - Santa Efigênia, Belo Horizonte, Brazil 30260-070",https://imax.com/theatres/cineart-boulevard-imax,false,true,false,false,false,false,false
2670,UCI Kinoplex De Lux Shopping Recife & IMAX,-8.115950000000,-34.901930000000,"Avenida Padre Carapuceiro 777 - Boa Viagem, Recife, BRA.PE 51020-280",https://imax.com/theatres/uci-kinoplex-de-lux-shopping-recife-imax,false,true,false,false,false,false,false
2672,UCI New York City Center & IMAX,-22.998850000000,-43.360560000000,"Avenida Das Américas 5000 - Loja 301, Rio de Janeiro, RJ, Brazil 22640-102",https://imax.com/theatres/uci-new-york-city-center-imax,false,true,false,false,false,false,false
2673,Bourbon Shopping Wallig IMAX,-30.011070000000,-51.160900000000,"Avienda Assis Brazil, 2611, Cristo Redentor, Porto Alegre, Brazil 91010-002",https://imax.com/theatres/bourbon-shopping-wallig-imax,false,true,false,false,false,false,false
2674,Cineflix The Square Open Mall & IMAX,-23.601440000000,-46.907610000000,"Rodovia Raposo Tavares, Km 22,5, Bairro Lagaedinho, Cotia, Sao Paulo, Brazil 05576-000",https://imax.com/theatres/cineflix-square-open-mall-imax,false,true,false,false,false,false,false
2675,Cinépolis IMAX Theatre,-23.590580000000,-46.689730000000,"Shopping JK Iguatemi, Av. Pres. Juscelino Kubitschek, Itaim, São Paulo, Brazil 04543-011",https://imax.com/theatres/cin%C3%A9polis-imax-theatre,false,true,false,false,false,false,false
2676,"Espaço Itau de Cinema IMAX, Bourbon Shopping Centre",-23.526790000000,-46.680740000000,"Bourbon Shopping Centre, Rua Turiassu 2100 - Pavimento 3 - Pompéia, São Paulo, Brazil 05005-900",https://imax.com/theatres/espa%C3%A7o-ita%C3%BA-de-cinema-imax,false,true,false,false,false,false,false
2677,UCI Analia Franco IMAX,-23.562650000000,-46.559440000000,"Avenida Regente Feijó 1759 - Quadra A - Loja 40 - Nível Lírio, São Paulo, SP, Brazil 03342-000",https://imax.com/theatres/uci-analia-franco-imax,false,true,false,false,false,false,false
2678,UCI Ribeirao Shopping & IMAX,-21.211630000000,-47.816060000000,"Avenida Coronel Fernando Ferreira Leite 1540, Ribeirão Preto, SP, Brazil 14026-900",https://imax.com/theatres/uci-ribeirao-shopping-imax,false,true,false,false,false,false,false
2679,AMC Bay Street 16 & IMAX,37.832950000000,-122.293000000000,"5614 Shellmound Street, Emeryville, CA 94608",https://imax.com/theatres/amc-bay-street-16-imax,false,true,true,true,false,true,false
2680,AMC Brentwood 14 & IMAX,37.943720000000,-121.739800000000,"2525 Sand Creek Rd., Brentwood, CA 94513",https://imax.com/theatres/amc-brentwood-14,false,false,false,false,false,false,false
2681,AMC Burbank 16 & IMAX,34.181500000000,-118.312400000000,"125 E. Palm Ave., Burbank, CA 91502",https://imax.com/theatres/amc-burbank-16-imax,false,true,true,true,false,true,false
2682,AMC Century City 15 & IMAX,34.060120000000,-118.420100000000,"10250 Santa Monica Boulevard, Los Angeles, CA 90067",https://imax.com/theatres/amc-century-city-15-imax,true,true,true,true,true,true,false
2683,AMC Covina 30 & IMAX,34.106350000000,-117.906800000000,"1414 North Azusa Avenue, Covina, CA 91722",https://imax.com/theatres/amc-covina-30-imax,false,true,false,false,false,true,false
2685,AMC Del Amo 18 & IMAX,33.831150000000,-118.347200000000,"3525 Carson St. Suite 73, Torrance, CA 90503",https://imax.com/theatres/amc-del-amo-18-imax,true,false,true,true,true,false,false
2687,AMC Eastridge 15 & IMAX,37.326220000000,-121.813500000000,"2190 Eastridge Loop, San Jose, CA 95122",https://imax.com/theatres/amc-eastridge-15-imax,false,true,true,true,false,false,false
2688,AMC Glendora 12 & IMAX,34.116880000000,-117.836300000000,"1337 E. Gladstone Road, Glendora, CA 91740",https://imax.com/theatres/amc-glendora-12-imax,false,true,false,false,true,false,false
2689,AMC Mercado 20 & IMAX,37.388790000000,-121.986200000000,"3111 Mission College Blvd., Santa Clara, CA 95054",https://imax.com/theatres/amc-mercado-20-imax,true,true,true,true,false,true,false
2690,AMC Metreon 16 & IMAX,37.784500000000,-122.404000000000,"135 Fourth Street, Suite #3000, San Francisco, CA 94103",https://imax.com/theatres/amc-loews-metreon-16-imax,false,true,true,true,true,true,false
2691,AMC Mission Valley 20 & IMAX,32.767700000000,-117.148900000000,"1640 Camino Del Rio North, San Diego, CA 92108",https://imax.com/theatres/amc-mission-valley-20-imax,false,true,false,false,false,true,false
2692,AMC Norwalk 20 & IMAX,33.907170000000,-118.070600000000,"12300 E. Civic Center Drive, Norwalk, CA 90650",https://imax.com/theatres/amc-norwalk-20-imax,false,true,false,false,true,true,false
